"","plant","hyp","gt","treat","plate"
"398",8,7.672,"Col","EOD-FR",5
"399",9,4.91,"Col","EOD-FR",5
"400",10,6.6,"Col","EOD-FR",5
"401",11,7.233,"Col","EOD-FR",5
"402",12,5.115,"Col","EOD-FR",5
"403",13,9.868,"Col","EOD-FR",5
"404",14,7.61,"Col","EOD-FR",5
"405",15,8.191,"Col","EOD-FR",5
"430",1,5.463,"yucT46-8","EOD-FR",5
"431",2,4.66,"yucT46-8","EOD-FR",5
"432",3,4.797,"yucT46-8","EOD-FR",5
"433",4,3.597,"yucT46-8","EOD-FR",5
"434",5,4.112,"yucT46-8","EOD-FR",5
"435",6,3.705,"yucT46-8","EOD-FR",5
"436",7,7.525,"yucT46-8","EOD-FR",5
"437",8,6.397,"yucT46-8","EOD-FR",5
"438",9,6.871,"yucT46-8","EOD-FR",5
"439",10,5.168,"yucT46-8","EOD-FR",5
"440",11,4.364,"yucT46-8","EOD-FR",5
"441",12,4.71,"yucT46-8","EOD-FR",5
"442",1,7.129,"yucT18-11","EOD-FR",5
"443",2,6.361,"yucT18-11","EOD-FR",5
"444",3,5.551,"yucT18-11","EOD-FR",5
"445",4,6.768,"yucT18-11","EOD-FR",5
"446",5,5.475,"yucT18-11","EOD-FR",5
"447",6,5.566,"yucT18-11","EOD-FR",5
"448",7,6.507,"yucT18-11","EOD-FR",5
"449",8,5.272,"yucT18-11","EOD-FR",5
"450",9,7.008,"yucT18-11","EOD-FR",5
"451",10,6.488,"yucT18-11","EOD-FR",5
"452",11,5.469,"yucT18-11","EOD-FR",5
"453",12,6.444,"yucT18-11","EOD-FR",5
"454",13,7.156,"yucT18-11","EOD-FR",5
"455",14,6.546,"yucT18-11","EOD-FR",5
"611",1,3.684,"yucQ","Control",8
"612",2,2.405,"yucQ","Control",8
"613",3,3.47,"yucQ","Control",8
"614",4,3.039,"yucQ","Control",8
"615",5,2.67,"yucQ","Control",8
"616",6,3.83,"yucQ","Control",8
"617",7,3.309,"yucQ","Control",8
"618",8,3.276,"yucQ","Control",8
"619",9,3.286,"yucQ","Control",8
"620",10,2.481,"yucQ","Control",8
"633",1,3.463,"Col","Control",8
"634",2,4.378,"Col","Control",8
"635",3,4.037,"Col","Control",8
"636",4,3.018,"Col","Control",8
"637",5,3.504,"Col","Control",8
"638",6,3.279,"Col","Control",8
"639",7,3.728,"Col","Control",8
"640",8,3.592,"Col","Control",8
"661",1,3.708,"yucT46-8","Control",8
"662",2,3.427,"yucT46-8","Control",8
"663",3,2.921,"yucT46-8","Control",8
"664",4,3.058,"yucT46-8","Control",8
"665",5,4.325,"yucT46-8","Control",8
"666",1,2.898,"yucT18-11","Control",8
"667",2,3.298,"yucT18-11","Control",8
"668",3,3.456,"yucT18-11","Control",8
"669",4,3.555,"yucT18-11","Control",8
"670",5,3.696,"yucT18-11","Control",8
"671",6,3.42,"yucT18-11","Control",8
"672",7,4.119,"yucT18-11","Control",8
"673",8,3.73,"yucT18-11","Control",8
"674",9,3.129,"yucT18-11","Control",8
"675",10,3.31,"yucT18-11","Control",8
"676",11,3.119,"yucT18-11","Control",8
"677",12,3.224,"yucT18-11","Control",8
"678",13,3.628,"yucT18-11","Control",8
"679",14,3.065,"yucT18-11","Control",8
"680",15,3.697,"yucT18-11","Control",8
"681",1,3.794,"yucQ","Control",9
