genotype,light,NPA,replicate,exp,scan_date,file,hypocotyl_mm
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1751-1808,3.026
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1551-1880,1.185
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1373-1770,3.346
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1341-1590,2.501
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1907-1412,3.057
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1658-2252,4.118
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1470-2430,2.901
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1421-2599,2.201
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1845-2316,4.205
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1793-2597,2.869
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1575-2798,3.389
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1452-3042,4.587
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1633-3014,3.446
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1844-2863,2.135
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1892-3185,4.7
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1787-3358,2.429
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1520-3394,2.276
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1538-3640,2.959
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1490-3792,2.924
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1967-3585,2.083
yuc2589,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1776-3788,1.615
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2401-0270,3.77
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2494-0442,3.188
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2752-0327,4.025
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2835-0515,3.601
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2853-0712,3.957
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2668-0770,3.324
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2480-0657,4.015
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2276-0703,3.574
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2432-0880,3.074
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2618-1097,3.571
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2877-1111,3.723
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2714-1287,2.969
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2353-1180,2.642
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2437-1386,3.472
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2710-1468,3.237
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2844-1462,3.946
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2362-1599,3.628
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2588-1700,3.988
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2841-1835,3.871
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2651-1857,3.561
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2409-1912,2.87
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2240-1890,3.191
Col,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2281-1378,2.954
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2363-2393,2.923
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2613-2354,3.244
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2800-2440,3.147
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2707-2657,3.385
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2809-2860,3.768
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2531-2931,3.474
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2340-2743,2.883
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2342-3163,3.33
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2432-3598,3.726
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2611-3170,3.114
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2809-3298,2.542
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2746-3572,3.174
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2456-3877,3.647
yuc2589,noEODFR,DMSO,a,4,8/3/12,yuc_EODFR_KN003.tif:2645-3873,3.227
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3340-0348,3.811
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3682-0389,3.121
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3863-0243,2.538
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3614-0539,3.618
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3361-0649,2.829
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3493-0901,3.041
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3751-0776,2.98
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3652-0984,3.409
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3776-1090,3.657
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3745-1252,2.881
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3567-1229,2.905
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3427-1182,3.444
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3335-1134,3.129
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3313-1330,3.098
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3363-0894,2.836
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3309-1626,3.342
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3367-1772,2
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3572-1589,2.294
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3591-1855,2.889
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3743-1588,2.461
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3660-1443,3.098
Col,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3844-1867,2.634
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3773-2369,2.334
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3631-2756,3.668
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3389-2724,2.887
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3313-2857,2.882
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3480-2961,3.979
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3464-3164,2.469
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3802-3064,2.861
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3716-3382,3.45
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3580-3496,2.894
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3405-3629,2.563
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3384-3867,2.543
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3663-3760,2.651
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3697-3956,3.984
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3510-4137,2.47
yuc2589,noEODFR,DMSO,b,4,8/3/12,yuc_EODFR_KN003.tif:3275-3428,2.405
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4271-0270,2.142
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4584-0313,1.805
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4200-0606,2.456
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4571-0559,2.29
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4466-0754,2.197
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4644-0771,1.609
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4213-0865,2.12
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4530-0969,2.046
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4697-1002,2.244
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4708-1169,1.529
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4391-1073,2.043
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4313-1280,2.043
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4134-1231,2.257
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4229-1546,2.039
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4538-1435,1.455
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4753-1506,2.008
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4386-1706,1.42
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4605-1672,2.301
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4621-1872,1.913
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4266-1903,1.571
Col,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4340-1448,1.205
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4226-2341,2.127
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4564-2246,2.076
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4603-2512,2.202
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4296-2681,2.085
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4610-2756,2.227
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4360-3120,2.055
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4390-2877,2.013
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4705-3075,2.374
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4536-3328,2.127
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4301-3530,2.519
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4300-3713,2.247
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4548-3781,1.703
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4713-3583,2.28
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4767-3818,2.027
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4594-4036,2.61
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4448-4030,2.455
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:4303-3990,2.993
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5141-0276,1.437
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5402-0254,1.195
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5546-0312,1.108
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5384-0568,2.034
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5115-0588,1.824
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5222-0741,1.983
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5545-0655,2.106
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5456-0865,2.216
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5609-0852,1.448
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5157-0986,1.539
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5041-1188,2.332
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5254-1197,1.965
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5572-1088,1.401
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5644-1105,1.587
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5510-1242,1.993
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5576-1380,1.738
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5367-1485,2.202
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5165-1493,1.197
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5162-1712,1.984
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5142-1925,1.78
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5344-1793,1.707
Col,noEODFR,NPA,b,4,8/3/12,yuc_EODFR_KN003.tif:5512-1823,2.12
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5371-2308,1.743
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5036-2440,1.99
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5322-2809,2.09
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5092-2963,2.639
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5467-2952,2.326
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5549-2652,2.38
yuc2589,noEODFR,NPA,a,4,8/3/12,yuc_EODFR_KN003.tif:5607-2406,2.409
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5524-2339,2.652
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5601-3171,2.766
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5318-3326,3.542
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5493-3429,1.821
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5274-3659,2.325
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5603-3790,2.195
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5666-4013,3.099
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:5372-4041,2.117
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0539-0218,3.431
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0526-0349,4.828
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0487-0474,4.205
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0502-0755,4.041
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0690-0595,3.98
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0873-0586,3.931
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0982-0412,3.683
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0916-0190,2.894
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0838-0751,3.162
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:1053-0750,3.2
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0962-1026,4.246
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0592-0944,4.393
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0501-1166,4.271
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0685-1162,3.617
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0841-1295,3.836
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:1041-1310,2.92
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0681-1381,4.238
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0444-1452,4.501
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0469-1704,4.503
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0659-1605,3.65
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0844-1572,1.597
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0820-1895,3.712
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0630-1973,4.371
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:1009-1844,3.758
Col,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0972-1644,3.42
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0533-2505,3.159
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0931-2338,2.884
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0883-2619,2.006
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0647-2813,2.678
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0581-3093,2.389
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0743-3209,3.055
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:1024-2888,2.287
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0983-3326,2.432
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0865-3457,3.289
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0684-3583,2.983
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0516-3336,3.004
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0598-3861,2.48
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0824-3791,2.876
yuc2589,EODFR,none,a,4,8/3/12,yuc_EODFR_KN002.tif:0828-3957,2.874
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1563-0299,3.251
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1532-0537,3.17
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1474-0716,2.799
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1493-0995,4.268
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1681-1091,3.701
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1750-0230,4.215
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1873-0323,4.154
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:2002-0182,4.719
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1830-0398,5.04
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1919-0661,3.76
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1780-0684,4.438
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1809-0895,4.338
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1907-1130,2.519
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1988-1325,3.921
Col,EODFR,none,b,4,8/3/12,yuc_EODFR_KN002.tif:1593-1228,4.366
