"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"2","shade","B","yuc5",22,"yuc_SAS_hyp_exp2_002.tif:2408-1630",7.39
"2","shade","B","yuc5",23,"yuc_SAS_hyp_exp2_002.tif:2450-1717",7.13
"2","shade","B","yuc5",24,"yuc_SAS_hyp_exp2_002.tif:2482-1866",6.773
"2","shade","B","yuc5",25,"yuc_SAS_hyp_exp2_002.tif:2498-1988",4.12
"2","shade","B","yuc5",26,"yuc_SAS_hyp_exp2_002.tif:2453-2140",6.399
"2","shade","A","Col",29,"yuc_SAS_hyp_exp2_002.tif:1293-3933",3.224
"2","shade","A","Col",30,"yuc_SAS_hyp_exp2_002.tif:1241-4097",6.606
"2","shade","A","Col",31,"yuc_SAS_hyp_exp2_002.tif:1271-4260",6.746
"2","shade","A","Col",32,"yuc_SAS_hyp_exp2_002.tif:1237-4420",6.261
"2","shade","A","yuc2yuc5yuc8yuc9",33,"yuc_SAS_hyp_exp2_002.tif:1897-3278",1.786
"2","shade","A","yuc2yuc5yuc8yuc9",34,"yuc_SAS_hyp_exp2_002.tif:1896-3459",2.28
"2","shade","A","Col",35,"yuc_SAS_hyp_exp2_002.tif:1822-3781",7.474
"2","shade","A","Col",36,"yuc_SAS_hyp_exp2_002.tif:1826-4061",7.802
"2","shade","A","Col",37,"yuc_SAS_hyp_exp2_002.tif:1791-4229",7.378
"2","shade","A","yuc9",38,"yuc_SAS_hyp_exp2_002.tif:2534-2802",2.839
"2","shade","A","yuc9",39,"yuc_SAS_hyp_exp2_002.tif:2494-3014",6.543
"2","shade","A","yuc9",40,"yuc_SAS_hyp_exp2_002.tif:2452-3122",6.682
"2","shade","A","yuc9",41,"yuc_SAS_hyp_exp2_002.tif:2430-3277",7.132
"2","shade","A","yuc9",42,"yuc_SAS_hyp_exp2_002.tif:2467-3327",4.959
"2","shade","A","yuc9",43,"yuc_SAS_hyp_exp2_002.tif:2471-3456",5.491
"2","shade","A","yuc5",44,"yuc_SAS_hyp_exp2_002.tif:2451-3938",4.605
"2","shade","A","yuc5",45,"yuc_SAS_hyp_exp2_002.tif:2482-4113",2.704
"2","shade","A","yuc5",46,"yuc_SAS_hyp_exp2_002.tif:2407-4237",5.995
"2","shade","A","yuc5",47,"yuc_SAS_hyp_exp2_002.tif:2402-4410",5.849
"2","shade","B","yuc1yuc4",48,"yuc_SAS_hyp_exp2_002.tif:3735-0609",2.371
"2","shade","B","yuc1yuc4",49,"yuc_SAS_hyp_exp2_002.tif:3702-1194",2.825
"2","shade","B","yuc5yuc8yuc9",50,"yuc_SAS_hyp_exp2_002.tif:3643-1502",7.268
"2","shade","B","yuc5yuc8yuc9",51,"yuc_SAS_hyp_exp2_002.tif:3655-1632",6.288
"2","shade","B","yuc5yuc8yuc9",52,"yuc_SAS_hyp_exp2_002.tif:3644-1940",6.677
"2","shade","B","yuc5yuc8yuc9",53,"yuc_SAS_hyp_exp2_002.tif:3608-2022",6.696
"2","shade","B","yuc2yuc5yuc9",54,"yuc_SAS_hyp_exp2_002.tif:4225-0526",5.454
"2","shade","B","yuc2yuc5yuc9",55,"yuc_SAS_hyp_exp2_002.tif:4212-0671",6.587
"2","shade","B","yuc2yuc5yuc9",56,"yuc_SAS_hyp_exp2_002.tif:4194-0800",5.94
"2","shade","B","yuc2yuc5yuc9",57,"yuc_SAS_hyp_exp2_002.tif:4220-0998",5.933
"2","shade","B","yuc2yuc5yuc9",58,"yuc_SAS_hyp_exp2_002.tif:4204-1169",4.984
"2","shade","B","yuc2",59,"yuc_SAS_hyp_exp2_002.tif:4223-1507",4.109
"2","shade","B","yuc2",60,"yuc_SAS_hyp_exp2_002.tif:4205-1651",4.36
"2","shade","B","yuc2",61,"yuc_SAS_hyp_exp2_002.tif:4184-1768",6.3
"2","shade","B","yuc2",62,"yuc_SAS_hyp_exp2_002.tif:4204-1901",6.315
"2","shade","B","yuc2",63,"yuc_SAS_hyp_exp2_002.tif:4193-2073",4.299
"2","shade","B","Col",64,"yuc_SAS_hyp_exp2_002.tif:4846-0625",4.939
"2","shade","B","Col",65,"yuc_SAS_hyp_exp2_002.tif:4819-0728",6.861
"2","shade","B","Col",66,"yuc_SAS_hyp_exp2_002.tif:4802-0861",7.414
"2","shade","B","Col",67,"yuc_SAS_hyp_exp2_002.tif:4801-1035",6.695
"2","shade","B","Col",68,"yuc_SAS_hyp_exp2_002.tif:4875-1209",6.317
"2","shade","B","yuc8",69,"yuc_SAS_hyp_exp2_002.tif:4762-1442",5.945
"2","shade","B","yuc8",70,"yuc_SAS_hyp_exp2_002.tif:4864-1743",3.508
"2","shade","B","yuc8",71,"yuc_SAS_hyp_exp2_002.tif:4777-1917",5.455
"2","shade","B","yuc8",72,"yuc_SAS_hyp_exp2_002.tif:4789-2047",6.181
"2","shade","B","yuc8",73,"yuc_SAS_hyp_exp2_002.tif:4789-2084",6.185
"2","shade","A","yuc1yuc4",74,"yuc_SAS_hyp_exp2_002.tif:3680-2781",2.005
"2","shade","A","yuc1yuc4",75,"yuc_SAS_hyp_exp2_002.tif:3634-2948",3.122
"2","shade","A","yuc5yuc8yuc9",76,"yuc_SAS_hyp_exp2_002.tif:3598-3770",6.582
"2","shade","A","yuc5yuc8yuc9",77,"yuc_SAS_hyp_exp2_002.tif:3558-3838",4.667
"2","shade","A","yuc5yuc8yuc9",78,"yuc_SAS_hyp_exp2_002.tif:3600-3950",5.44
"2","shade","A","yuc5yuc8yuc9",79,"yuc_SAS_hyp_exp2_002.tif:3587-3970",5.54
"2","shade","A","yuc5yuc8yuc9",80,"yuc_SAS_hyp_exp2_002.tif:3576-4095",6.768
"2","shade","A","yuc5yuc8yuc9",81,"yuc_SAS_hyp_exp2_002.tif:3604-4233",5.537
"2","shade","A","yuc2yuc5yuc9",82,"yuc_SAS_hyp_exp2_002.tif:4147-2714",6.183
"2","shade","A","yuc2yuc5yuc9",83,"yuc_SAS_hyp_exp2_002.tif:4146-2827",5.25
"2","shade","A","yuc2yuc5yuc9",84,"yuc_SAS_hyp_exp2_002.tif:4226-3050",8.012
"2","shade","A","yuc2yuc5yuc9",85,"yuc_SAS_hyp_exp2_002.tif:4173-3180",5.171
"2","shade","A","yuc2yuc5yuc9",86,"yuc_SAS_hyp_exp2_002.tif:4196-3355",5.716
"2","shade","A","yuc2",87,"yuc_SAS_hyp_exp2_002.tif:4135-3714",5.059
"2","shade","A","yuc2",88,"yuc_SAS_hyp_exp2_002.tif:4141-3859",5.788
"2","shade","A","yuc2",89,"yuc_SAS_hyp_exp2_002.tif:4151-3960",5.616
"2","shade","A","yuc2",90,"yuc_SAS_hyp_exp2_002.tif:4176-4183",1.988
"2","shade","A","Col",91,"yuc_SAS_hyp_exp2_002.tif:4816-2831",2.432
"2","shade","A","Col",92,"yuc_SAS_hyp_exp2_002.tif:4748-2992",7.112
"2","shade","A","Col",93,"yuc_SAS_hyp_exp2_002.tif:4724-3115",7.058
"2","shade","A","Col",94,"yuc_SAS_hyp_exp2_002.tif:4785-3186",5.915
"2","shade","A","Col",95,"yuc_SAS_hyp_exp2_002.tif:4721-3297",7.101
"2","shade","A","Col",96,"yuc_SAS_hyp_exp2_002.tif:4731-3434",6.305
"2","shade","A","yuc8",97,"yuc_SAS_hyp_exp2_002.tif:4726-3717",5.435
"2","shade","A","yuc8",98,"yuc_SAS_hyp_exp2_002.tif:4739-3862",6.173
"2","shade","A","yuc8",99,"yuc_SAS_hyp_exp2_002.tif:4725-4013",4.406
"2","shade","A","yuc8",100,"yuc_SAS_hyp_exp2_002.tif:4720-4326",5.252
"5","sun","A","Col",1,"yuc_SAS_hyp_exp5_001.tif:0673-0228",2.218
"5","sun","A","Col",3,"yuc_SAS_hyp_exp5_001.tif:0633-0439",3.174
"5","sun","A","Col",4,"yuc_SAS_hyp_exp5_001.tif:0695-0725",3.927
"5","sun","A","Col",5,"yuc_SAS_hyp_exp5_001.tif:0671-0852",3.153
"5","sun","A","yuc9",6,"yuc_SAS_hyp_exp5_001.tif:0600-1158",4.724
"5","sun","A","yuc9",7,"yuc_SAS_hyp_exp5_001.tif:0580-1301",4.389
"5","sun","A","yuc9",8,"yuc_SAS_hyp_exp5_001.tif:0668-1478",3.312
"5","sun","A","yuc9",9,"yuc_SAS_hyp_exp5_001.tif:0588-1634",3.928
"5","sun","A","yuc9",10,"yuc_SAS_hyp_exp5_001.tif:0654-1789",4.247
"5","sun","A","yuc5",11,"yuc_SAS_hyp_exp5_001.tif:1224-1139",3.1
"5","sun","A","yuc5",12,"yuc_SAS_hyp_exp5_001.tif:1163-1284",4.351
"5","sun","A","yuc5",13,"yuc_SAS_hyp_exp5_001.tif:1236-1423",2.216
"5","sun","A","yuc5",15,"yuc_SAS_hyp_exp5_001.tif:1209-1792",3.142
"5","sun","A","yuc2yuc5yuc9",16,"yuc_SAS_hyp_exp5_001.tif:1811-0244",2.436
"5","sun","A","yuc2yuc5yuc9",17,"yuc_SAS_hyp_exp5_001.tif:1781-0674",2.695
"5","sun","A","yuc2yuc5yuc9",18,"yuc_SAS_hyp_exp5_001.tif:1782-0777",2.265
"5","sun","A","yuc8",19,"yuc_SAS_hyp_exp5_001.tif:0645-2452",1.378
"5","sun","A","yuc8",21,"yuc_SAS_hyp_exp5_001.tif:0642-2927",2.705
"5","sun","A","yuc8",22,"yuc_SAS_hyp_exp5_001.tif:0646-3067",1.587
"5","sun","A","yuc2",24,"yuc_SAS_hyp_exp5_001.tif:0630-3538",2.826
"5","sun","A","yuc2",25,"yuc_SAS_hyp_exp5_001.tif:0612-3709",2.076
"5","sun","A","yuc2",26,"yuc_SAS_hyp_exp5_001.tif:0636-3858",1.832
"5","sun","A","yuc2",27,"yuc_SAS_hyp_exp5_001.tif:0628-4035",1.212
"5","sun","A","yuc5yuc8yuc9",28,"yuc_SAS_hyp_exp5_001.tif:1191-3587",1.847
"5","sun","A","yuc5yuc8yuc9",29,"yuc_SAS_hyp_exp5_001.tif:1166-3717",3.836
"5","sun","A","yuc5yuc8yuc9",30,"yuc_SAS_hyp_exp5_001.tif:1194-3902",1.893
"5","sun","A","yuc5yuc8yuc9",31,"yuc_SAS_hyp_exp5_001.tif:1158-4041",3.182
"5","sun","A","Col",32,"yuc_SAS_hyp_exp5_001.tif:1762-2515",3.317
"5","sun","A","Col",33,"yuc_SAS_hyp_exp5_001.tif:1808-2614",3.153
"5","sun","A","Col",34,"yuc_SAS_hyp_exp5_001.tif:1802-2788",3.732
"5","sun","A","Col",35,"yuc_SAS_hyp_exp5_001.tif:1804-2968",1.8
"5","sun","A","Col",36,"yuc_SAS_hyp_exp5_001.tif:1789-3098",4.375
"5","sun","A","Col",37,"yuc_SAS_hyp_exp5_001.tif:1784-3447",1.357
"5","sun","A","yuc2yuc5yuc8yuc9",38,"yuc_SAS_hyp_exp5_001.tif:1792-3584",1.545
"5","sun","A","yuc2yuc5yuc8yuc9",39,"yuc_SAS_hyp_exp5_001.tif:1787-3753",2.012
"5","sun","A","yuc2yuc5yuc8yuc9",40,"yuc_SAS_hyp_exp5_001.tif:1796-3902",1.355
"5","sun","A","yuc2yuc5yuc8yuc9",41,"yuc_SAS_hyp_exp5_001.tif:1786-4048",1.447
"5","sun","B","yuc8",42,"yuc_SAS_hyp_exp5_001.tif:2961-0255",1.527
"5","sun","B","yuc8",43,"yuc_SAS_hyp_exp5_001.tif:2947-0376",0.916
"5","sun","B","yuc8",44,"yuc_SAS_hyp_exp5_001.tif:2946-0552",1.914
"5","sun","B","yuc8",45,"yuc_SAS_hyp_exp5_001.tif:2972-0757",1.901
"5","sun","B","yuc8",46,"yuc_SAS_hyp_exp5_001.tif:2970-0901",2.455
"5","sun","B","yuc2",47,"yuc_SAS_hyp_exp5_001.tif:2906-1253",3.241
"5","sun","B","yuc2",49,"yuc_SAS_hyp_exp5_001.tif:2951-1526",1.613
"5","sun","B","yuc2",50,"yuc_SAS_hyp_exp5_001.tif:2929-1695",0.935
"5","sun","B","yuc2",51,"yuc_SAS_hyp_exp5_001.tif:2928-1810",2.468
"5","sun","B","yuc5yuc8yuc9",52,"yuc_SAS_hyp_exp5_001.tif:3508-1216",3.24
"5","sun","B","yuc5yuc8yuc9",53,"yuc_SAS_hyp_exp5_001.tif:3484-1388",2.244
"5","sun","B","yuc5yuc8yuc9",54,"yuc_SAS_hyp_exp5_001.tif:3483-1514",1.27
"5","sun","B","yuc5yuc8yuc9",56,"yuc_SAS_hyp_exp5_001.tif:3480-1832",2.418
"5","sun","B","Col",57,"yuc_SAS_hyp_exp5_001.tif:4140-0260",3.224
"5","sun","B","Col",58,"yuc_SAS_hyp_exp5_001.tif:4139-0597",1.993
"5","sun","B","Col",59,"yuc_SAS_hyp_exp5_001.tif:4094-0746",3.192
"5","sun","B","Col",60,"yuc_SAS_hyp_exp5_001.tif:4164-0883",3.332
"5","sun","B","yuc2yuc5yuc8yuc9",61,"yuc_SAS_hyp_exp5_001.tif:4093-1215",1.663
"5","sun","B","yuc2yuc5yuc8yuc9",62,"yuc_SAS_hyp_exp5_001.tif:4086-1380",1.016
"5","sun","B","yuc2yuc5yuc8yuc9",63,"yuc_SAS_hyp_exp5_001.tif:4105-1528",1.491
"5","sun","B","yuc2yuc5yuc8yuc9",64,"yuc_SAS_hyp_exp5_001.tif:4056-1680",1.693
"5","sun","B","yuc2yuc5yuc8yuc9",65,"yuc_SAS_hyp_exp5_001.tif:4088-1828",1.355
"5","sun","B","Col",66,"yuc_SAS_hyp_exp5_001.tif:2966-2643",1.389
"5","sun","B","Col",67,"yuc_SAS_hyp_exp5_001.tif:2917-2856",3.998
"5","sun","B","Col",68,"yuc_SAS_hyp_exp5_001.tif:2910-3009",4.107
"5","sun","B","Col",69,"yuc_SAS_hyp_exp5_001.tif:2922-3154",3.661
"5","sun","B","yuc9",70,"yuc_SAS_hyp_exp5_001.tif:2909-3441",3.948
"5","sun","B","yuc9",71,"yuc_SAS_hyp_exp5_001.tif:2903-3576",5.145
"5","sun","B","yuc9",72,"yuc_SAS_hyp_exp5_001.tif:2897-3736",3.723
"5","sun","B","yuc9",73,"yuc_SAS_hyp_exp5_001.tif:2892-3920",3.805
"5","sun","B","yuc9",74,"yuc_SAS_hyp_exp5_001.tif:2920-4030",4.058
"5","sun","B","yuc5",75,"yuc_SAS_hyp_exp5_001.tif:3460-3566",4.064
"5","sun","B","yuc5",76,"yuc_SAS_hyp_exp5_001.tif:3469-3768",2.89
"5","sun","B","yuc5",77,"yuc_SAS_hyp_exp5_001.tif:3458-4077",1.176
"5","sun","B","yuc2yuc5yuc9",78,"yuc_SAS_hyp_exp5_001.tif:4068-2532",1.233
"5","sun","B","yuc2yuc5yuc9",79,"yuc_SAS_hyp_exp5_001.tif:4068-2667",2.083
"5","sun","B","yuc2yuc5yuc9",80,"yuc_SAS_hyp_exp5_001.tif:4048-2814",2.5
"5","sun","B","yuc2yuc5yuc9",82,"yuc_SAS_hyp_exp5_001.tif:4048-3159",2.602
"5","shade","A","yuc8",1,"yuc_SAS_hyp_exp5_002.tif:0695-0219",3.371
"5","shade","A","yuc8",3,"yuc_SAS_hyp_exp5_002.tif:0676-0520",4.396
"5","shade","A","yuc8",4,"yuc_SAS_hyp_exp5_002.tif:0709-0665",3.272
"5","shade","A","yuc8",5,"yuc_SAS_hyp_exp5_002.tif:0738-0891",4.309
"5","shade","A","yuc2",6,"yuc_SAS_hyp_exp5_002.tif:0675-1163",2.288
"5","shade","A","yuc2",7,"yuc_SAS_hyp_exp5_002.tif:0699-1203",1.611
"5","shade","A","yuc2",8,"yuc_SAS_hyp_exp5_002.tif:0695-1356",3.243
"5","shade","A","yuc2",9,"yuc_SAS_hyp_exp5_002.tif:0696-1502",3.537
"5","shade","A","yuc2",10,"yuc_SAS_hyp_exp5_002.tif:0750-1673",3.187
"5","shade","A","yuc2",11,"yuc_SAS_hyp_exp5_002.tif:0676-1826",5.452
"5","shade","A","yuc5yuc8yuc9",12,"yuc_SAS_hyp_exp5_002.tif:1253-1259",5.016
"5","shade","A","yuc5yuc8yuc9",13,"yuc_SAS_hyp_exp5_002.tif:1202-1511",4.785
"5","shade","A","yuc5yuc8yuc9",14,"yuc_SAS_hyp_exp5_002.tif:1240-1666",4.38
"5","shade","A","yuc5yuc8yuc9",15,"yuc_SAS_hyp_exp5_002.tif:1218-1835",5.023
"5","shade","A","Col",16,"yuc_SAS_hyp_exp5_002.tif:1889-0290",5.022
"5","shade","A","Col",17,"yuc_SAS_hyp_exp5_002.tif:1829-0414",6.919
"5","shade","A","Col",18,"yuc_SAS_hyp_exp5_002.tif:1810-0588",7.823
"5","shade","A","Col",19,"yuc_SAS_hyp_exp5_002.tif:1819-0737",7.933
"5","shade","A","Col",20,"yuc_SAS_hyp_exp5_002.tif:1824-0881",7.046
"5","shade","A","yuc2yuc5yuc8yuc9",21,"yuc_SAS_hyp_exp5_002.tif:1827-1210",1.947
"5","shade","A","yuc2yuc5yuc8yuc9",22,"yuc_SAS_hyp_exp5_002.tif:1832-1362",1.355
"5","shade","A","yuc2yuc5yuc8yuc9",23,"yuc_SAS_hyp_exp5_002.tif:1833-1532",1.644
"5","shade","A","yuc2yuc5yuc8yuc9",24,"yuc_SAS_hyp_exp5_002.tif:1829-1671",2.159
"5","shade","A","Col",25,"yuc_SAS_hyp_exp5_002.tif:0561-2513",1.993
"5","shade","A","Col",26,"yuc_SAS_hyp_exp5_002.tif:0522-2654",6.318
"5","shade","A","Col",27,"yuc_SAS_hyp_exp5_002.tif:0557-2834",5.981
"5","shade","A","Col",28,"yuc_SAS_hyp_exp5_002.tif:0529-2969",6.306
"5","shade","A","Col",29,"yuc_SAS_hyp_exp5_002.tif:0523-3101",6.181
"5","shade","A","yuc9",30,"yuc_SAS_hyp_exp5_002.tif:0498-3451",5.887
"5","shade","A","yuc9",31,"yuc_SAS_hyp_exp5_002.tif:0523-3574",6.292
"5","shade","A","yuc9",32,"yuc_SAS_hyp_exp5_002.tif:0503-3713",6.44
"5","shade","A","yuc9",34,"yuc_SAS_hyp_exp5_002.tif:0527-4078",5.785
"5","shade","A","yuc5",35,"yuc_SAS_hyp_exp5_002.tif:1061-3402",4.942
"5","shade","A","yuc5",37,"yuc_SAS_hyp_exp5_002.tif:1101-3755",3.781
"5","shade","A","yuc5",38,"yuc_SAS_hyp_exp5_002.tif:1048-3896",6.051
"5","shade","A","yuc5",39,"yuc_SAS_hyp_exp5_002.tif:1091-4070",1.644
"5","shade","A","yuc2yuc5yuc9",40,"yuc_SAS_hyp_exp5_002.tif:1673-2515",6.194
"5","shade","A","yuc2yuc5yuc9",41,"yuc_SAS_hyp_exp5_002.tif:1733-2682",6.86
"5","shade","A","yuc2yuc5yuc9",42,"yuc_SAS_hyp_exp5_002.tif:1649-2799",5.964
"5","shade","A","yuc2yuc5yuc9",43,"yuc_SAS_hyp_exp5_002.tif:1702-2967",5.997
"5","shade","A","yuc2yuc5yuc9",44,"yuc_SAS_hyp_exp5_002.tif:1672-3195",5.427
"5","shade","B","Col",45,"yuc_SAS_hyp_exp5_002.tif:3026-0263",5.715
"5","shade","B","Col",46,"yuc_SAS_hyp_exp5_002.tif:2971-0449",7.404
"5","shade","B","Col",47,"yuc_SAS_hyp_exp5_002.tif:2983-0570",6.245
"5","shade","B","Col",48,"yuc_SAS_hyp_exp5_002.tif:2982-0728",6.88
"5","shade","B","yuc9",49,"yuc_SAS_hyp_exp5_002.tif:2867-1148",6.168
"5","shade","B","yuc9",50,"yuc_SAS_hyp_exp5_002.tif:2925-1331",6.364
"5","shade","B","yuc9",51,"yuc_SAS_hyp_exp5_002.tif:2954-1495",5.477
"5","shade","B","yuc9",52,"yuc_SAS_hyp_exp5_002.tif:2954-1642",6.459
"5","shade","B","yuc9",53,"yuc_SAS_hyp_exp5_002.tif:2931-1788",6.47
"5","shade","B","yuc5",54,"yuc_SAS_hyp_exp5_002.tif:3504-1171",3.908
"5","shade","B","yuc5",55,"yuc_SAS_hyp_exp5_002.tif:3463-1312",6.014
"5","shade","B","yuc5",56,"yuc_SAS_hyp_exp5_002.tif:3469-1482",7.211
"5","shade","B","yuc5",57,"yuc_SAS_hyp_exp5_002.tif:3468-1623",7.113
"5","shade","B","yuc5",58,"yuc_SAS_hyp_exp5_002.tif:3520-1824",6.934
"5","shade","B","yuc2yuc5yuc9",59,"yuc_SAS_hyp_exp5_002.tif:4115-0241",5.56
"5","shade","B","yuc2yuc5yuc9",60,"yuc_SAS_hyp_exp5_002.tif:4171-0366",6.05
"5","shade","B","yuc2yuc5yuc9",61,"yuc_SAS_hyp_exp5_002.tif:4080-0560",6.944
"5","shade","B","yuc2yuc5yuc9",62,"yuc_SAS_hyp_exp5_002.tif:4088-0698",5.063
"5","shade","B","yuc8",64,"yuc_SAS_hyp_exp5_002.tif:2934-2507",3.121
"5","shade","B","yuc8",65,"yuc_SAS_hyp_exp5_002.tif:2916-2663",4.601
"5","shade","B","yuc8",66,"yuc_SAS_hyp_exp5_002.tif:2949-2847",2.479
"5","shade","B","yuc8",67,"yuc_SAS_hyp_exp5_002.tif:2907-3006",5.165
"5","shade","B","yuc2",68,"yuc_SAS_hyp_exp5_002.tif:2929-3695",5.124
"5","shade","B","yuc2",69,"yuc_SAS_hyp_exp5_002.tif:2914-3821",5.088
"5","shade","B","yuc2",70,"yuc_SAS_hyp_exp5_002.tif:2948-3954",3.057
"5","shade","B","yuc2",71,"yuc_SAS_hyp_exp5_002.tif:2916-4140",5.901
"5","shade","B","yuc5yuc8yuc9",73,"yuc_SAS_hyp_exp5_002.tif:3448-3423",4.916
"5","shade","B","yuc5yuc8yuc9",74,"yuc_SAS_hyp_exp5_002.tif:3445-3587",6.139
"5","shade","B","yuc5yuc8yuc9",75,"yuc_SAS_hyp_exp5_002.tif:3479-3730",1.947
"5","shade","B","yuc5yuc8yuc9",76,"yuc_SAS_hyp_exp5_002.tif:3429-3855",6.137
"5","shade","B","yuc5yuc8yuc9",77,"yuc_SAS_hyp_exp5_002.tif:3453-4010",5.909
"5","shade","B","Col",78,"yuc_SAS_hyp_exp5_002.tif:4107-2529",4.402
"5","shade","B","Col",79,"yuc_SAS_hyp_exp5_002.tif:4069-2644",6.945
"5","shade","B","Col",80,"yuc_SAS_hyp_exp5_002.tif:4061-2826",7.428
"5","shade","B","Col",81,"yuc_SAS_hyp_exp5_002.tif:4131-2956",3.203
"5","shade","B","Col",82,"yuc_SAS_hyp_exp5_002.tif:4085-3150",6.148
"5","shade","B","yuc2yuc5yuc8yuc9",83,"yuc_SAS_hyp_exp5_002.tif:4099-3472",1.81
"5","shade","B","yuc2yuc5yuc8yuc9",84,"yuc_SAS_hyp_exp5_002.tif:4070-3624",1.668
"5","shade","B","yuc2yuc5yuc8yuc9",85,"yuc_SAS_hyp_exp5_002.tif:4098-3770",2.032
"5","shade","B","yuc2yuc5yuc8yuc9",86,"yuc_SAS_hyp_exp5_002.tif:4112-3913",1.745
"6","sun","A","yuc2yuc5yuc9",1,"yuc_SAS_hyp_exp6_001.tif:2828-0520",2.448
"6","sun","A","yuc2yuc5yuc9",2,"yuc_SAS_hyp_exp6_001.tif:2866-0677",1.422
"6","sun","A","yuc2yuc5yuc9",3,"yuc_SAS_hyp_exp6_001.tif:2830-0805",2.783
"6","sun","A","yuc2yuc5yuc9",4,"yuc_SAS_hyp_exp6_001.tif:2820-0922",3.482
"6","sun","A","Col",5,"yuc_SAS_hyp_exp6_001.tif:2869-1601",2.76
"6","sun","A","Col",7,"yuc_SAS_hyp_exp6_001.tif:2872-1871",2.799
"6","sun","A","yuc2",13,"yuc_SAS_hyp_exp6_001.tif:3396-1454",2.629
"6","sun","A","yuc2",14,"yuc_SAS_hyp_exp6_001.tif:3410-1597",1.329
"6","sun","A","yuc2",15,"yuc_SAS_hyp_exp6_001.tif:3404-1713",1.155
"6","sun","A","yuc2",16,"yuc_SAS_hyp_exp6_001.tif:3420-1851",1.908
"6","sun","A","yuc2",17,"yuc_SAS_hyp_exp6_001.tif:3404-2003",1.304
"6","sun","A","yuc2yuc5yuc8yuc9",18,"yuc_SAS_hyp_exp6_001.tif:3940-0495",1.473
"6","sun","A","yuc2yuc5yuc8yuc9",19,"yuc_SAS_hyp_exp6_001.tif:3947-0693",1.397
"6","sun","A","yuc2yuc5yuc8yuc9",20,"yuc_SAS_hyp_exp6_001.tif:3941-0990",1.318
"6","sun","A","yuc1yuc4",21,"yuc_SAS_hyp_exp6_001.tif:4007-1399",1.678
"6","sun","A","yuc1yuc4",23,"yuc_SAS_hyp_exp6_001.tif:4023-1753",2.431
"6","sun","A","yuc1yuc4",25,"yuc_SAS_hyp_exp6_001.tif:4037-2011",3.325
"6","sun","B","Col",27,"yuc_SAS_hyp_exp6_001.tif:2808-3842",1.707
"6","sun","B","Col",28,"yuc_SAS_hyp_exp6_001.tif:2823-4146",1.192
"6","sun","B","Col",29,"yuc_SAS_hyp_exp6_001.tif:2811-4296",1.402
"6","sun","B","yuc2",32,"yuc_SAS_hyp_exp6_001.tif:3411-3812",1.727
"6","sun","B","yuc2",33,"yuc_SAS_hyp_exp6_001.tif:3394-3973",2.194
"6","sun","B","yuc2",34,"yuc_SAS_hyp_exp6_001.tif:3412-4150",1.371
"6","sun","B","yuc2yuc5yuc8yuc9",36,"yuc_SAS_hyp_exp6_001.tif:3919-2730",1.197
"6","sun","B","yuc2yuc5yuc8yuc9",38,"yuc_SAS_hyp_exp6_001.tif:3921-3057",1.228
"6","sun","B","yuc2yuc5yuc8yuc9",40,"yuc_SAS_hyp_exp6_001.tif:3943-3376",0.72
"6","sun","B","yuc1yuc4",42,"yuc_SAS_hyp_exp6_001.tif:3991-3992",1.251
"6","shade","A","yuc2yuc5yuc9",43,"yuc_SAS_hyp_exp6_001.tif:0556-0742",3.792
"6","shade","A","yuc2yuc5yuc9",44,"yuc_SAS_hyp_exp6_001.tif:0483-0888",6.568
"6","shade","A","yuc2yuc5yuc9",45,"yuc_SAS_hyp_exp6_001.tif:0484-0995",5.317
"6","shade","A","yuc2yuc5yuc9",46,"yuc_SAS_hyp_exp6_001.tif:0476-1041",5.732
"6","shade","A","yuc2yuc5yuc9",47,"yuc_SAS_hyp_exp6_001.tif:0494-1166",6.349
"6","shade","A","Col",48,"yuc_SAS_hyp_exp6_001.tif:0528-1498",2.092
"6","shade","A","Col",49,"yuc_SAS_hyp_exp6_001.tif:0539-1659",5.76
"6","shade","A","Col",50,"yuc_SAS_hyp_exp6_001.tif:0510-1918",3.02
"6","shade","A","yuc2",57,"yuc_SAS_hyp_exp6_001.tif:1053-1487",3.5
"6","shade","A","yuc2",58,"yuc_SAS_hyp_exp6_001.tif:1087-1603",2.316
"6","shade","A","yuc2",59,"yuc_SAS_hyp_exp6_001.tif:1038-1749",4.897
"6","shade","A","yuc2",61,"yuc_SAS_hyp_exp6_001.tif:1066-2054",1.742
"6","shade","A","yuc2yuc5yuc8yuc9",62,"yuc_SAS_hyp_exp6_001.tif:1602-0854",0.822
"6","shade","A","yuc2yuc5yuc8yuc9",64,"yuc_SAS_hyp_exp6_001.tif:1619-1158",1.355
"6","shade","A","yuc1yuc4",65,"yuc_SAS_hyp_exp6_001.tif:1685-1417",1.02
"6","shade","A","yuc1yuc4",67,"yuc_SAS_hyp_exp6_001.tif:1635-1745",4.624
"6","shade","A","yuc1yuc4",68,"yuc_SAS_hyp_exp6_001.tif:1679-1903",1.612
"6","shade","A","yuc1yuc4",69,"yuc_SAS_hyp_exp6_001.tif:1615-2078",5.554
"6","shade","B","yuc2yuc5yuc9",70,"yuc_SAS_hyp_exp6_001.tif:0469-2933",3.764
"6","shade","B","yuc2yuc5yuc9",71,"yuc_SAS_hyp_exp6_001.tif:0491-3057",2.02
