"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"1","sun","A","yuc2",38,"yuc_SAS_exp1_002label.jpg:1351-3449",2.069
"1","sun","A","yuc2yuc5yuc9",39,"yuc_SAS_exp1_002label.jpg:1301-3653",2.845
"1","sun","A","yuc2yuc5yuc9",40,"yuc_SAS_exp1_002label.jpg:1327-3850",4.815
"1","sun","A","yuc2yuc5yuc9",41,"yuc_SAS_exp1_002label.jpg:1313-3965",4.752
"1","sun","A","yuc2yuc5yuc9",42,"yuc_SAS_exp1_002label.jpg:1301-4118",4.577
"1","sun","A","yuc5yuc8yuc9",43,"yuc_SAS_exp1_002label.jpg:1872-2696",4.932
"1","sun","A","yuc5yuc8yuc9",44,"yuc_SAS_exp1_002label.jpg:1766-2869",5.673
"1","sun","A","yuc5yuc8yuc9",45,"yuc_SAS_exp1_002label.jpg:1837-3070",3.067
"1","sun","A","yuc5yuc8yuc9",46,"yuc_SAS_exp1_002label.jpg:1817-3215",4.157
"1","sun","A","yuc8",47,"yuc_SAS_exp1_002label.jpg:1868-3645",2.526
"1","sun","A","yuc8",48,"yuc_SAS_exp1_002label.jpg:1904-3833",4.385
"1","sun","A","yuc8",49,"yuc_SAS_exp1_002label.jpg:1918-3920",3.844
"1","sun","A","yuc8",50,"yuc_SAS_exp1_002label.jpg:1952-3966",2.83
"1","sun","A","yuc8",51,"yuc_SAS_exp1_002label.jpg:1883-4155",4.573
"1","sun","A","yuc8",52,"yuc_SAS_exp1_002label.jpg:1974-4263",3.224
"1","shade","A","Col",53,"yuc_SAS_exp1_002label.jpg:3549-0403",5.192
"1","shade","A","Col",54,"yuc_SAS_exp1_002label.jpg:3492-0504",8.638
"1","shade","A","Col",55,"yuc_SAS_exp1_002label.jpg:3651-0704",5.943
"1","shade","A","Col",56,"yuc_SAS_exp1_002label.jpg:3549-0889",5.755
"1","shade","A","yuc2",61,"yuc_SAS_exp1_002label.jpg:4188-0450",4.204
"1","shade","A","yuc2",62,"yuc_SAS_exp1_002label.jpg:4144-0586",7.889
"1","shade","A","yuc2",63,"yuc_SAS_exp1_002label.jpg:4138-0747",7.602
"1","shade","A","yuc2",64,"yuc_SAS_exp1_002label.jpg:4160-0907",6.483
"1","shade","A","yuc2",65,"yuc_SAS_exp1_002label.jpg:4170-1007",6.752
"1","shade","A","yuc2",66,"yuc_SAS_exp1_002label.jpg:4162-1018",7.125
"1","shade","A","yuc2yuc5yuc9",67,"yuc_SAS_exp1_002label.jpg:4158-1346",3.996
"1","shade","A","yuc2yuc5yuc9",68,"yuc_SAS_exp1_002label.jpg:4084-1532",6.489
"1","shade","A","yuc2yuc5yuc9",69,"yuc_SAS_exp1_002label.jpg:4094-1823",6.594
"1","shade","A","yuc2yuc5yuc9",70,"yuc_SAS_exp1_002label.jpg:4165-1998",6.379
"1","shade","A","yuc5yuc8yuc9",71,"yuc_SAS_exp1_002label.jpg:4732-0594",5.953
"1","shade","A","yuc5yuc8yuc9",72,"yuc_SAS_exp1_002label.jpg:4766-0749",2.892
"1","shade","A","yuc5yuc8yuc9",73,"yuc_SAS_exp1_002label.jpg:4752-1069",4.385
"1","shade","A","yuc8",74,"yuc_SAS_exp1_002label.jpg:4714-1609",4.616
"1","shade","A","yuc8",75,"yuc_SAS_exp1_002label.jpg:4694-1708",6.694
"1","shade","A","yuc8",76,"yuc_SAS_exp1_002label.jpg:4682-1870",6.011
"1","shade","A","yuc8",77,"yuc_SAS_exp1_002label.jpg:4741-2004",5.793
"1","shade","B","Col",78,"yuc_SAS_exp1_002label.jpg:3503-2753",6.396
"1","shade","B","Col",79,"yuc_SAS_exp1_002label.jpg:3488-2866",6.102
"1","shade","B","Col",80,"yuc_SAS_exp1_002label.jpg:3390-3053",7.538
"1","shade","B","Col",81,"yuc_SAS_exp1_002label.jpg:3428-3202",6.716
"1","shade","B","Col",82,"yuc_SAS_exp1_002label.jpg:3374-3348",8.567
"1","shade","B","yuc2",87,"yuc_SAS_exp1_002label.jpg:3952-3032",6.257
"1","shade","B","yuc2",88,"yuc_SAS_exp1_002label.jpg:4036-3163",6.507
"1","shade","B","yuc2",89,"yuc_SAS_exp1_002label.jpg:4025-3328",6.889
"1","shade","B","yuc2yuc5yuc9",90,"yuc_SAS_exp1_002label.jpg:4111-3625",5.475
"1","shade","B","yuc2yuc5yuc9",91,"yuc_SAS_exp1_002label.jpg:4028-3801",5.156
"1","shade","B","yuc2yuc5yuc9",92,"yuc_SAS_exp1_002label.jpg:4127-3936",5.736
"1","shade","B","yuc2yuc5yuc9",93,"yuc_SAS_exp1_002label.jpg:4079-4091",6.511
"1","shade","B","yuc2yuc5yuc9",94,"yuc_SAS_exp1_002label.jpg:4061-4254",6.68
