"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
4,"shade","yucQ","2","5",5.797,16.911,10.438,138.636,62.653,0.444,"Kazu","yuc2589"
4,"shade","yucQ","2","6",4.402,15.133,9.67,114.935,54.356,0.489,"Kazu","yuc2589"
4,"shade","yucQ","3","3",6.625,13.119,9.516,98.05,49.869,0.495,"Kazu","yuc2589"
4,"shade","yucQ","3","4",7.787,16.453,11.11,143.557,59.436,0.511,"Kazu","yuc2589"
4,"shade","yucQ","3","5",7.08,16.38,11.161,143.579,59.267,0.514,"Kazu","yuc2589"
4,"shade","yucQ","3","6",7.244,17.178,10.441,140.862,59.859,0.494,"Kazu","yuc2589"
4,"sun","yucQ","1","3",5.966,18.983,10.595,157.958,71.459,0.389,"Kazu","yuc2589"
4,"sun","yucQ","1","4",7.394,16.279,10.091,129.025,59.097,0.464,"Kazu","yuc2589"
4,"sun","yucQ","1","5",7.534,12.651,9.128,90.695,46.228,0.533,"Kazu","yuc2589"
4,"sun","yucQ","1","6",9.095,12.272,9.285,89.491,46.905,0.511,"Kazu","yuc2589"
4,"sun","yucQ","2","3",7.61,12.36,10.171,98.731,47.752,0.544,"Kazu","yuc2589"
4,"sun","yucQ","2","4",8.045,16.271,11.126,142.183,59.944,0.497,"Kazu","yuc2589"
4,"sun","yucQ","2","5",7.114,18.247,11.873,170.157,67.225,0.473,"Kazu","yuc2589"
4,"sun","yucQ","2","6",5.954,18.131,10.214,145.448,64.855,0.435,"Kazu","yuc2589"
4,"sun","yucQ","3","3",5.771,15.016,10.612,125.152,55.118,0.518,"Kazu","yuc2589"
4,"sun","yucQ","3","4",7.449,14.121,10.228,113.43,52.155,0.524,"Kazu","yuc2589"
4,"sun","yucQ","3","5",4.17,16.961,11.148,148.503,60.452,0.511,"Kazu","yuc2589"
4,"sun","yucQ","3","6",4.981,13.38,8.426,88.545,49.869,0.447,"Kazu","yuc2589"
4,"sun","Col","1","3",6.597,10.612,8.975,74.803,41.148,0.555,"Kazu","Col"
4,"sun","Col","1","4",6.935,12.009,9.406,88.718,45.381,0.541,"Kazu","Col"
4,"sun","Col","1","5",5.994,13.387,9.486,99.74,50.377,0.494,"Kazu","Col"
4,"sun","Col","1","6",3.964,12.747,8.614,86.238,45.889,0.515,"Kazu","Col"
4,"sun","Col","2","3",6.72,14.172,7.406,82.435,48.345,0.443,"Kazu","Col"
4,"sun","Col","2","4",7.942,14.425,10.023,113.561,53.001,0.508,"Kazu","Col"
4,"sun","Col","2","5",6.862,11.446,9.462,85.059,44.45,0.541,"Kazu","Col"
4,"sun","Col","2","6",4.888,12.945,7.381,75.041,43.265,0.504,"Kazu","Col"
5,"sun","yucQ","1","3",8.172,15.189,10.813,128.989,56.557,0.507,"Kazu","yuc2589"
5,"sun","yucQ","1","4",8.282,15.446,11.075,134.353,55.203,0.554,"Kazu","yuc2589"
5,"sun","yucQ","1","5",6.23,17.314,11.205,152.367,60.875,0.517,"Kazu","yuc2589"
5,"sun","yucQ","1","6",6.824,19.036,11.689,174.763,65.871,0.506,"Kazu","yuc2589"
5,"sun","yucQ","2","3",5.673,12.626,9.48,94.009,46.397,0.549,"Kazu","yuc2589"
5,"sun","yucQ","2","4",6.287,14.304,10.234,114.973,51.562,0.543,"Kazu","yuc2589"
5,"sun","yucQ","2","5",4.535,13.228,8.399,87.263,46.567,0.506,"Kazu","yuc2589"
5,"sun","yucQ","2","6",2.876,14.611,8.962,102.846,51.223,0.493,"Kazu","yuc2589"
5,"sun","yucQ","3","3",6.621,12.249,9.798,94.261,46.905,0.538,"Kazu","yuc2589"
5,"sun","yucQ","3","4",5.257,12.137,9.145,87.177,45.297,0.534,"Kazu","yuc2589"
5,"sun","yucQ","3","5",5.135,13.107,9.073,93.398,46.99,0.532,"Kazu","yuc2589"
