"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
7,"shade","yucQ","1","5",4.428,13.627,9.238,98.871,55.457,0.404,"Kazu","yuc2589"
7,"shade","yucQ","1","6",3.661,16.178,6.899,87.661,56.642,0.343,"Kazu","yuc2589"
7,"shade","yucQ","2","3",5.541,9.285,7.596,55.394,39.201,0.453,"Kazu","yuc2589"
7,"shade","yucQ","2","4",7.39,14.102,10.653,117.984,54.017,0.508,"Kazu","yuc2589"
7,"shade","yucQ","2","5",6.953,15.767,10.348,128.147,61.807,0.422,"Kazu","yuc2589"
7,"shade","yucQ","2","6",5.41,15.581,9.982,122.152,56.134,0.487,"Kazu","yuc2589"
7,"shade","yucQ","3","3",3.492,6.701,5.916,31.134,28.702,0.475,"Kazu","yuc2589"
7,"shade","yucQ","3","4",4.639,11.387,8.123,72.649,42.418,0.507,"Kazu","yuc2589"
7,"shade","yucQ","3","5",4.649,10.564,8.027,66.598,38.693,0.559,"Kazu","yuc2589"
7,"shade","yucQ","3","6",2.679,11.466,6.659,59.96,40.132,0.468,"Kazu","yuc2589"
7,"shade","Col","1","3",9.929,11.668,9.38,85.96,50.461,0.424,"Kazu","Col"
7,"shade","Col","1","4",8.636,10.521,8.485,70.109,48.599,0.373,"Kazu","Col"
7,"shade","Col","1","5",8.179,15.012,9.898,116.702,58.928,0.422,"Kazu","Col"
7,"shade","Col","1","6",9.638,15.486,9.947,120.978,63.5,0.377,"Kazu","Col"
7,"shade","Col","2","3",7.536,10.255,8.713,70.179,48.345,0.377,"Kazu","Col"
7,"shade","Col","2","4",6.996,10.956,9.226,79.387,50.207,0.396,"Kazu","Col"
7,"shade","Col","2","5",6.938,13.017,7.949,81.269,49.784,0.412,"Kazu","Col"
7,"shade","Col","2","6",7.703,13.73,9.03,97.38,54.187,0.417,"Kazu","Col"
7,"shade","Col","3","3",6.279,10.25,8.099,65.197,42.249,0.459,"Kazu","Col"
7,"shade","Col","3","4",6.503,8.912,6.935,48.543,36.576,0.456,"Kazu","Col"
7,"shade","Col","3","5",4.769,8.192,5.641,36.294,33.274,0.412,"Kazu","Col"
7,"shade","Col","3","6",3.718,9.816,5.92,45.638,38.523,0.386,"Kazu","Col"
7,"sun","Col","4","3",7.154,10.444,8.732,71.625,40.979,0.536,"Kazu","Col"
7,"sun","Col","4","4",7.358,11.414,9.39,84.179,46.143,0.497,"Kazu","Col"
7,"sun","Col","4","5",7.527,13.697,9.677,104.095,49.361,0.537,"Kazu","Col"
7,"sun","Col","4","6",6.903,14.775,8.574,99.502,52.747,0.449,"Kazu","Col"
7,"sun","Col","5","3",7.369,11.204,9.019,79.365,44.281,0.509,"Kazu","Col"
7,"sun","Col","5","4",6.784,14.736,9.788,113.287,55.287,0.466,"Kazu","Col"
7,"sun","Col","5","5",7.445,12.565,9.626,94.996,49.361,0.49,"Kazu","Col"
7,"sun","Col","5","6",7.075,13.473,9.437,99.862,49.953,0.503,"Kazu","Col"
7,"shade","Col","4","3",11.143,12.4,9.649,93.966,51.139,0.452,"Kazu","Col"
7,"shade","Col","4","4",8.619,12.977,10.22,104.163,51.731,0.489,"Kazu","Col"
7,"shade","Col","4","5",12.611,15.435,9.817,119.009,54.949,0.495,"Kazu","Col"
7,"shade","Col","4","6",10.766,16.409,9.327,120.206,58.674,0.439,"Kazu","Col"
7,"shade","Col","5","3",13.04,14.34,11.106,125.084,58.505,0.459,"Kazu","Col"
7,"shade","Col","5","4",13.778,15.054,9.972,117.91,55.033,0.489,"Kazu","Col"
7,"shade","Col","5","5",11.684,18.365,10.626,153.269,63.839,0.473,"Kazu","Col"
7,"shade","Col","5","6",12.43,18.216,11.005,157.442,65.447,0.462,"Kazu","Col"
7,"shade","Col","6","3",10.222,12.152,9.736,92.921,47.837,0.51,"Kazu","Col"
7,"shade","Col","6","4",11.494,14.4,9.994,113.028,55.203,0.466,"Kazu","Col"
7,"shade","Col","6","5",10.658,17.063,10.609,142.181,60.198,0.493,"Kazu","Col"
7,"shade","Col","6","6",11.442,18.365,9.374,135.206,62.145,0.44,"Kazu","Col"
7,"shade","Col","7","3",8.491,12.308,9.843,95.152,49.022,0.498,"Kazu","Col"
7,"shade","Col","7","4",9.813,11.91,10.033,93.851,51.816,0.439,"Kazu","Col"
7,"shade","Col","7","5",11.36,17.159,10.75,144.872,62.145,0.471,"Kazu","Col"
7,"shade","Col","7","6",8.814,18.389,10.648,153.785,65.193,0.455,"Kazu","Col"
7,"shade","Col","1","3",5.351,10.322,8.346,67.663,39.285,0.551,"Kazu","Col"
7,"shade","Col","1","4",5.02,11.361,8.591,76.661,41.91,0.548,"Kazu","Col"
7,"shade","Col","1","5",5.818,11.966,7.855,73.826,43.434,0.492,"Kazu","Col"
7,"shade","Col","1","6",4.478,10.617,7.031,58.627,38.269,0.503,"Kazu","Col"
7,"shade","Col","8","3",7.092,10.322,9.557,77.482,44.958,0.482,"Kazu","Col"
7,"shade","Col","8","4",5.868,12.177,7.854,75.118,44.535,0.476,"Kazu","Col"
7,"shade","Col","8","5",6.413,11.659,9.008,82.487,43.942,0.537,"Kazu","Col"
7,"shade","Col","8","6",6.378,13,8.556,87.355,45.974,0.519,"Kazu","Col"
