Timepoint,Genotype,Treatment,Int
180,Col,FR,168291712
200,Col,FR,168297088
220,Col,FR,168296160
240,Col,FR,168291568
260,Col,FR,168283168
280,Col,FR,168279632
300,Col,FR,168273936
320,Col,FR,168266784
340,Col,FR,168256928
360,Col,FR,168242016
380,Col,FR,168229072
400,Col,FR,168215296
420,Col,FR,168201088
440,Col,FR,168184864
460,Col,FR,168167344
480,Col,FR,168149872
500,Col,FR,168133280
520,Col,FR,168121312
540,Col,FR,168108896
560,Col,FR,168096048
580,Col,FR,168081824
600,Col,FR,168067968
620,Col,FR,168055520
640,Col,FR,168045120
660,Col,FR,168034784
680,Col,FR,168021104
700,Col,FR,168010400
720,Col,FR,168003424
740,Col,FR,167997920
760,Col,FR,167987664
780,Col,FR,167975648
800,Col,FR,167971840
820,Col,FR,167971360
840,Col,FR,167970816
860,Col,FR,167960624
880,Col,FR,167948336
900,Col,FR,167942720
920,Col,FR,167941504
940,Col,FR,167939184
960,Col,FR,167924384
980,Col,FR,167915984
1000,Col,FR,167917840
1020,Col,FR,167918608
1040,Col,FR,167921552
1060,Col,FR,167920512
0,Col,FR,167906592
20,Col,FR,167960544
40,Col,FR,168044704
60,Col,FR,168139152
80,Col,FR,168232320
100,Col,FR,168312080
120,Col,FR,168370560
140,Col,FR,168417568
160,Col,FR,168449936
180,Col,FR,168472368
200,Col,FR,168484800
220,Col,FR,168482192
240,Col,FR,168471984
260,Col,FR,168451024
280,Col,FR,168418976
300,Col,FR,168379056
320,Col,FR,168345792
340,Col,FR,168313984
360,Col,FR,168279328
380,Col,FR,168251920
400,Col,FR,168230128
420,Col,FR,168212176
440,Col,FR,168196768
460,Col,FR,168180000
480,Col,FR,168164592
500,Col,FR,168148768
520,Col,FR,168133008
540,Col,FR,168118368
560,Col,FR,168104704
580,Col,FR,168091760
600,Col,FR,168082112
620,Col,FR,168072720
640,Col,FR,168063376
660,Col,FR,168055200
680,Col,FR,168048656
700,Col,FR,168042256
720,Col,FR,168037968
740,Col,FR,168033584
760,Col,FR,168028208
780,Col,FR,168021088
800,Col,FR,168019888
820,Col,FR,168015792
840,Col,FR,168012400
860,Col,FR,168004848
880,Col,FR,167999296
900,Col,FR,167995936
920,Col,FR,167984640
940,Col,FR,167974288
960,Col,FR,167965024
980,Col,FR,167955200
1000,Col,FR,167948768
1020,Col,FR,167939840
1040,Col,FR,167934368
1060,Col,FR,167926624
0,yuccaQ,FR,167714048
20,yuccaQ,FR,167728432
40,yuccaQ,FR,167745296
60,yuccaQ,FR,167761824
80,yuccaQ,FR,167771696
100,yuccaQ,FR,167783760
120,yuccaQ,FR,167786064
140,yuccaQ,FR,167787248
160,yuccaQ,FR,167787472
180,yuccaQ,FR,167786144
200,yuccaQ,FR,167784464
220,yuccaQ,FR,167783104
240,yuccaQ,FR,167782256
260,yuccaQ,FR,167778832
280,yuccaQ,FR,167776032
300,yuccaQ,FR,167774448
320,yuccaQ,FR,167771968
340,yuccaQ,FR,167770448
360,yuccaQ,FR,167767184
380,yuccaQ,FR,167765472
400,yuccaQ,FR,167765488
420,yuccaQ,FR,167762688
440,yuccaQ,FR,167760080
460,yuccaQ,FR,167757744
480,yuccaQ,FR,167757856
500,yuccaQ,FR,167756528
520,yuccaQ,FR,167754816
540,yuccaQ,FR,167754448
560,yuccaQ,FR,167751808
580,yuccaQ,FR,167752128
600,yuccaQ,FR,167750576
620,yuccaQ,FR,167749712
640,yuccaQ,FR,167749424
660,yuccaQ,FR,167748544
680,yuccaQ,FR,167747488
700,yuccaQ,FR,167746224
720,yuccaQ,FR,167745792
740,yuccaQ,FR,167745680
760,yuccaQ,FR,167745664
780,yuccaQ,FR,167741280
800,yuccaQ,FR,167743840
820,yuccaQ,FR,167742576
840,yuccaQ,FR,167743008
860,yuccaQ,FR,167743232
880,yuccaQ,FR,167741472
900,yuccaQ,FR,167742240
920,yuccaQ,FR,167739904
940,yuccaQ,FR,167738576
960,yuccaQ,FR,167738240
980,yuccaQ,FR,167739984
1000,yuccaQ,FR,167739072
1020,yuccaQ,FR,167734480
1040,yuccaQ,FR,167737104
1060,yuccaQ,FR,167735728
0,yuccaQ,FR,167714560
20,yuccaQ,FR,167729024
40,yuccaQ,FR,167746192
60,yuccaQ,FR,167765456
80,yuccaQ,FR,167778992
100,yuccaQ,FR,167794624
120,yuccaQ,FR,167800704
140,yuccaQ,FR,167802944
160,yuccaQ,FR,167802784
180,yuccaQ,FR,167800400
200,yuccaQ,FR,167795856
220,yuccaQ,FR,167791360
240,yuccaQ,FR,167788768
260,yuccaQ,FR,167784896
280,yuccaQ,FR,167780928
300,yuccaQ,FR,167778608
320,yuccaQ,FR,167775968
340,yuccaQ,FR,167774080
360,yuccaQ,FR,167769728
380,yuccaQ,FR,167767024
400,yuccaQ,FR,167764336
420,yuccaQ,FR,167762736
440,yuccaQ,FR,167759680
460,yuccaQ,FR,167757984
480,yuccaQ,FR,167756864
500,yuccaQ,FR,167755168
520,yuccaQ,FR,167753632
540,yuccaQ,FR,167752928
560,yuccaQ,FR,167750288
580,yuccaQ,FR,167749328
600,yuccaQ,FR,167748336
620,yuccaQ,FR,167746400
640,yuccaQ,FR,167746448
660,yuccaQ,FR,167745472
680,yuccaQ,FR,167744672
700,yuccaQ,FR,167743840
720,yuccaQ,FR,167743280
740,yuccaQ,FR,167741872
760,yuccaQ,FR,167742208
780,yuccaQ,FR,167738096
800,yuccaQ,FR,167740736
820,yuccaQ,FR,167739232
840,yuccaQ,FR,167739136
860,yuccaQ,FR,167738928
880,yuccaQ,FR,167736576
900,yuccaQ,FR,167737712
920,yuccaQ,FR,167736176
940,yuccaQ,FR,167734640
960,yuccaQ,FR,167734608
980,yuccaQ,FR,167734944
1000,yuccaQ,FR,167733824
1020,yuccaQ,FR,167729392
1040,yuccaQ,FR,167731728
1060,yuccaQ,FR,167730256
0,yuccaQ,FR,167713824
20,yuccaQ,FR,167733072
40,yuccaQ,FR,167753296
60,yuccaQ,FR,167772320
80,yuccaQ,FR,167784256
100,yuccaQ,FR,167795360
120,yuccaQ,FR,167793392
140,yuccaQ,FR,167792544
160,yuccaQ,FR,167790912
180,yuccaQ,FR,167788400
200,yuccaQ,FR,167785856
220,yuccaQ,FR,167784192
240,yuccaQ,FR,167781376
260,yuccaQ,FR,167778064
280,yuccaQ,FR,167775424
300,yuccaQ,FR,167771424
320,yuccaQ,FR,167768912
340,yuccaQ,FR,167767168
360,yuccaQ,FR,167763712
380,yuccaQ,FR,167760960
400,yuccaQ,FR,167760000
420,yuccaQ,FR,167757824
440,yuccaQ,FR,167755008
460,yuccaQ,FR,167753264
480,yuccaQ,FR,167751040
500,yuccaQ,FR,167749904
520,yuccaQ,FR,167749072
540,yuccaQ,FR,167747664
560,yuccaQ,FR,167747152
580,yuccaQ,FR,167744864
600,yuccaQ,FR,167746400
620,yuccaQ,FR,167742608
640,yuccaQ,FR,167741584
660,yuccaQ,FR,167741536
680,yuccaQ,FR,167739888
700,yuccaQ,FR,167739136
720,yuccaQ,FR,167738176
740,yuccaQ,FR,167738384
760,yuccaQ,FR,167738784
780,yuccaQ,FR,167734624
800,yuccaQ,FR,167737424
820,yuccaQ,FR,167735264
840,yuccaQ,FR,167734960
860,yuccaQ,FR,167734368
880,yuccaQ,FR,167733024
900,yuccaQ,FR,167734704
920,yuccaQ,FR,167734256
940,yuccaQ,FR,167731840
960,yuccaQ,FR,167730896
980,yuccaQ,FR,167730800
1000,yuccaQ,FR,167729872
1020,yuccaQ,FR,167726896
1040,yuccaQ,FR,167729296
1060,yuccaQ,FR,167730688
0,yuccaQ,FR,167709040
20,yuccaQ,FR,167721760
40,yuccaQ,FR,167733088
60,yuccaQ,FR,167742944
80,yuccaQ,FR,167748688
100,yuccaQ,FR,167758720
120,yuccaQ,FR,167759280
140,yuccaQ,FR,167760608
160,yuccaQ,FR,167760688
180,yuccaQ,FR,167759664
200,yuccaQ,FR,167761232
220,yuccaQ,FR,167758544
240,yuccaQ,FR,167757872
260,yuccaQ,FR,167756016
280,yuccaQ,FR,167753760
300,yuccaQ,FR,167750432
320,yuccaQ,FR,167748992
340,yuccaQ,FR,167748016
360,yuccaQ,FR,167745312
380,yuccaQ,FR,167742848
400,yuccaQ,FR,167742384
420,yuccaQ,FR,167741632
440,yuccaQ,FR,167740352
460,yuccaQ,FR,167740592
480,yuccaQ,FR,167740272
500,yuccaQ,FR,167739872
520,yuccaQ,FR,167741488
540,yuccaQ,FR,167742432
560,yuccaQ,FR,167743424
580,yuccaQ,FR,167740784
600,yuccaQ,FR,167740784
620,yuccaQ,FR,167741056
640,yuccaQ,FR,167739888
660,yuccaQ,FR,167739200
680,yuccaQ,FR,167737600
700,yuccaQ,FR,167736672
720,yuccaQ,FR,167735344
740,yuccaQ,FR,167735152
760,yuccaQ,FR,167735056
780,yuccaQ,FR,167730192
800,yuccaQ,FR,167731840
820,yuccaQ,FR,167729408
840,yuccaQ,FR,167729968
860,yuccaQ,FR,167729696
880,yuccaQ,FR,167728544
900,yuccaQ,FR,167729680
920,yuccaQ,FR,167727552
940,yuccaQ,FR,167726016
960,yuccaQ,FR,167725920
980,yuccaQ,FR,167727520
1000,yuccaQ,FR,167727312
1020,yuccaQ,FR,167724080
1040,yuccaQ,FR,167725776
1060,yuccaQ,FR,167727072
