Plant,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
treat,,control,control,control,control,control,control,control,control,control,control,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR
gt,,Col,Col,Col,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,Col,Col,Col
treat_gt,,Col control,Col control,Col control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,Col EOD-FR,Col EOD-FR,Col EOD-FR
TL,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A


,172,18426940,15697153,17295816,13173296,4937421,9551309,13057619,10242985,10865796,5076341,14153292,15955477,19750004,20929424,14473058,9914808,37642772,38397340,37900332
,176,18344172,15499693,17222000,13414802,4614595,9513184,13178589,10637991,9359050,4565285,14216498,16176005,18904788,19685020,14577545,10373823,37691752,38830144,37398268
,180,18419612,15552331,16795488,13244026,4475381,9700445,13148994,10876583,9747675,4543530,14274921,15410286,19132488,19227780,14704168,10387596,38052480,39470536,38206280
,184,18290658,15608985,17109796,13049635,4000142,9263503,13332868,10292696,9880222,4571728,13985462,15133707,19294548,20443680,14432718,10519135,38518996,39153460,39095016
,188,18314868,15971606,17428576,13464886,4517310,9482431,13407714,10327294,10212181,4698240,14330661,16027568,18943512,19075868,14250434,10687045,39080084,40068600,39324524
,192,17900470,15511129,17532918,12978974,3774215,8882184,12387284,10798798,10011207,4406519,13995443,16504993,20024522,20093616,14363005,10962410,40580164,40015268,38616484
,196,17882750,15422367,16520671,13398976,4022331,9108796,13322221,11132385,10574485,4601265,14411602,15678087,19331472,19635576,14749974,10647299,40653204,39976324,39331232
,200,17572406,15770328,17360128,13276364,3944305,9315608,12704920,10862330,10172950,4472696,14324569,15884510,20195180,19624760,15081710,10575418,40704636,40211324,40131140
,204,17416996,15436436,17018804,13200724,4272568,8672371,13112387,11604925,10761623,4457297,14292707,16360753,20158468,19467360,14466141,10579267,41340536,39390816,40102240
,208,17357644,15252625,17118108,13588633,4322631,8858245,12085189,11096793,10525185,3951275,13970473,15530117,20741944,19152954,15023394,11007213,41856564,39978780,39206704
,212,17750164,15752770,16551067,13099597,4169344,8977800,12660815,11371925,10049238,4400860,14641697,16308672,19520500,20356012,14844041,11181837,41828992,40156832,40911680
,216,17500798,15686702,17389076,13449497,4249767,8932066,12198660,11593798,10553007,4322012,14243152,16109716,19924270,19190996,14799770,10927595,41804456,39605644,40550128
,220,17098244,15274168,17482944,13289341,4148247,9270426,12462684,11881557,10636646,3992019,14134215,15823283,20658612,18968128,14374887,11277543,42132040,40309008,41121156
,224,17338876,15382394,16515144,13188104,3920175,8749660,12376246,11957560,9754739,4194290,14648974,15844299,19998322,19296986,14791024,10587660,43192424,39866784,40550128
,228,17525848,15400740,17058604,13898020,4492778,9044533,12777315,11988813,10694751,3993028,14896345,16445467,20714096,19111672,15111689,11169236,42223776,40398316,40946128
