uniq,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94



,135,2264316,2347710,1807638,2412423,1735118,1303918,2542173,783517,2890927,917174,1512503,1297653,2326588,983978,1501613,1965761,2235187,2111298,1698567,3297449,2248437,2808113,1480349,1912907,2376661,3772921,2753732,3734840,4195602,2177272,5627347,3730496,1407597,3982043,5378408,5430255,4742819,2695297,2564892,4652193,5139158,739049,6387846,5377663,2471067,1831113,1283360,1311355,982277,3625134,2502558,1159515,2333654,1371938,4903672,3417044,4285129,3783056,2294928,3931300,2342162,3862265,1221334,1759667,830360,1400163,2201133,615822,1870233,1284614,1206868,3918888,1048416,1086447,1651337,4674161,2982577,1218355,2100540,5138167,1856396,5230324,4636606,1751466,1135455,1188102,3716416,1212664,1690595,7594127,6072665,3537995,4072013,3767746
,165,2211754,2370319,1814759,2318649,1901029,1434750,2459161,768225,2758416,892175,1705759,1459000,2551480,1287849,1491557,2419441,2344556,1980485,1982661,3553010,2604919,2882088,1726288,2038505,2174711,4052185,3150752,3798667,4637470,2326820,6285354,4210331,1405695,4174531,6166081,5790869,4854973,2847297,2776801,5391861,5067414,946244,7536732,5642238,2846031,1954938,1497124,1275243,885973,3902099,2957448,1175123,2541749,1397635,5196091,3505309,3950132,3869359,2112798,4444734,2481554,3247405,1268012,1650932,867043,1532056,1914819,787751,1719509,1304781,1329111,3434336,1418379,1317071,2268438,5209344,3275876,1346388,2284970,6116268,2024575,4759358,5057144,1900587,1309141,1291504,4270444,1187643,2059960,7933157,6703139,3629711,4678236,4230810
,195,2085518,2523866,1637348,2392244,1829439,1313328,2556001,818286,2704040,1167908,1986078,1746475,2931470,1206719,1322253,2227870,2548415,2022645,2199749,3254160,2389200,3068004,1502173,2084196,2564172,4454387,3157899,3781792,4835264,2415408,5969788,4426110,1515492,4218434,6172030,5679618,5462147,2733298,3016140,4657083,4979239,965657,7600813,5940116,3003511,1901875,1580396,1304966,912113,3523630,2814536,1272502,2490245,1603814,5283853,3802353,4347409,3989571,1904436,4293627,2427464,3491627,1247949,1693093,830604,1553656,2141491,702470,1927797,1404785,1422428,3674360,1403403,1372199,2298707,5075915,3482724,1383184,2362559,5808963,2276156,5021651,5324856,2258071,1631649,1418352,4304179,1289970,1854334,8073613,6443423,4019699,5097235,4727640
,225,1766399,2517338,1693107,2001272,1983173,1236076,2291549,896211,2245538,1132648,1832735,1539928,2695953,1220104,1360834,2248965,2564354,1709878,2370890,3458137,2404761,2788347,1854347,2398536,2680311,4116119,3544731,4315810,4589822,2632826,6162745,3618203,1696745,4323749,6533399,6023850,4823622,2719806,2891956,5330805,4668220,1297011,7832525,5151930,2788757,2460300,1365182,1268832,978523,3593706,2488004,1380973,2528017,1374547,5003752,2970897,4267030,3796832,1946687,4709882,2207479,2995351,1154599,1536083,837519,1406517,2113303,668290,1899472,1276566,1356411,3624534,1316643,1385534,2180769,5188406,3101304,1120143,2183461,5340854,2040648,4754843,5249535,2217625,1416594,1504589,4110289,1585832,2188451,8206870,5986013,4048291,5023741,4435176
,255,1795808,2765047,1726964,2052554,2062702,1443663,2343598,1138243,2351554,1145324,2010228,1462616,2908272,1405722,1258790,2567855,2564326,2058715,2667313,3271366,2259742,2935403,1810394,2280548,2569419,4113984,3210935,4064253,4722792,2131601,6251935,3720987,1404364,4102728,5819564,5270806,4760531,2934152,2727229,5081017,4711245,1451380,7243541,5049788,2826715,2518136,1388886,1335674,901150,3554244,2208402,1121222,2176947,1489318,4736187,3014187,4342304,3288582,2042234,4817957,2366711,2964094,1264352,1714340,701488,1345775,2009739,741211,1886531,1290566,1141805,3187192,1371191,1387060,1710068,4911331,3013759,1318870,2112661,5548384,1999641,5071925,4696627,2290535,1334342,1372858,3504899,1299055,1795424,7372573,5630087,4044921,5345298,4062571
,285,1700067,2923895,1486033,2374764,3079148,1432123,2087755,1118149,2224839,1268610,2020749,1844757,3174361,1544772,1262756,2779736,2698295,1877348,2557524,3261363,2032535,2941295,1775254,2151615,2603245,4452798,3253569,4148992,4532322,2340420,5600188,3514435,1673926,3983405,5549745,5666452,5338198,2595839,2884126,4800673,4901520,1263335,6917163,5570273,2763819,2555276,1272178,1188574,608835,3775385,2246043,1359732,2658434,1307388,5163219,3088553,4702582,2844013,1838022,4584013,2112225,2675710,1141805,1458390,903999,1423903,1977873,701954,1802194,1239775,1290975,2964637,1372569,1454818,1854374,4783570,2836589,1164934,2265470,5462745,2049878,4910717,4486030,2080290,1143775,1501208,3325713,1338717,1856503,7929650,5564868,3991022,4928443,3924113
,315,1657544,2662231,1615198,2319833,2609930,1459644,2259209,1244383,2221109,1301563,1814897,1459809,2918844,1412165,1103508,2551084,2642610,1775683,2471528,2921357,2157903,2785859,1963271,2104910,2364944,4107168,3009365,4114258,4285622,2080605,5404214,3424612,1509048,3692700,5557275,5828472,4452275,2460952,3007299,5097853,4643236,1307206,6885829,5558426,2857970,2004227,1347118,1396220,999035,3754531,2394276,1534675,2683570,1298910,5119649,2711573,4616014,3001710,2019702,4409683,2443726,2563956,1315888,1423395,794290,1328659,1803889,699394,1794133,1059879,1345109,2834117,1243402,1211950,2090552,4685086,2552621,1246349,2170736,5020351,1996035,4868950,4067302,2046162,1089545,1410506,3276455,1475474,1829928,6829186,5196800,4051215,4896212,3676255
,345,1675064,2486993,1549725,2321409,3369544,1247463,2228289,1133794,2291961,1390197,1801671,1486898,3008338,1320221,1075477,2468207,3076138,1806838,2491613,2738963,2191707,3129851,2217990,2101254,2216669,4175476,3007741,3949044,4578686,2148252,5213239,3297809,1643404,3876964,5336939,5256966,4847433,2288446,3031096,5001827,4209265,1275460,6396564,5076152,2812478,2295378,1067579,1311934,1078399,3904583,2248436,1355461,2482137,1521449,5109543,2935135,4484122,3136452,1970310,4299539,2851515,2621667,1290984,1267310,1097833,1369278,1709530,606219,1823703,1299230,952584,2434333,1480558,1347014,1772232,4447343,2678890,1152023,1814214,4348402,2038730,6074975,4345095,2141683,1141649,1350746,3272683,1477829,2116199,6633799,4504558,4224713,5414022,4012747
,375,1666381,2683641,1747878,2356976,3299094,1620629,2140366,1332387,2327991,1349792,2262981,1660217,2883262,1679823,1228196,2792975,3108902,1928844,2921249,3522057,1963401,3354114,2456327,1948381,2738968,4039857,3265345,3890505,4953781,1954181,5266886,3390802,1470353,3905574,5481626,5528637,5119794,2758715,2427533,4868921,4185927,1707147,6429960,5194166,2871906,2111028,1104034,1476193,921607,4024711,2254663,1348520,2820371,1406144,5137152,3131329,4046616,3021218,1730952,4603899,2323920,3080041,1187088,1435035,865823,1536268,1789726,661257,1779917,1101937,1251852,2435473,1431302,1206662,1823014,4373504,2410115,1185580,1909289,4465174,1620916,6276578,4190268,2007341,1227597,1353045,3189033,1305607,1911495,6361991,4630131,3635965,5100521,3977800
,405,1389121,2390159,1709749,2298630,3393679,1346025,2150036,1118724,2046484,1283666,2090559,1538465,3306389,1465771,915176,2448679,2942943,2041059,3293131,3457639,1845606,3363185,2406232,2344945,2607796,4114661,3299176,3920785,4818551,2066640,4799373,3390705,1353129,3511788,5761673,5486799,4860000,2402043,2938851,4690539,3837432,1536475,5481556,5401672,2736566,2263482,1060301,1370979,855108,3669157,2429376,1436451,2865160,1377179,5123672,3484865,4344673,2991161,1876502,4851850,2552667,2903285,1137003,1634988,564443,1436563,1823149,549189,1880085,866624,992869,2538541,1108863,1114640,1821820,3824324,2713663,1161885,1863624,4238317,1893624,4773912,4052828,1964948,1162419,1279515,3220153,1412697,1607304,6322347,3609426,3928673,4978845,3544920
